Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Cnidaria	GCF_902728285.1	reference genome	27	376564	420978673	252671	Clytia hemisphaerica
Cnidaria	GCA_041430235.2	reference genome	75	2032403	3327460943	168775	Physalia physalis
Cnidaria	GCA_039566865.1	reference genome	120	23520599	574952410	1962980	Aurelia coerulea
Cnidaria	GCA_003991215.1	reference genome	30	30845	951575644	686327	Morbakka virulenta
Cnidaria	GCA_916610825.1	reference genome	68	1466457	261880027	313498	Haliclystus octoradiatus
Cnidaria	GCA_046867295.1	reference genome	35	2792954	40172413	182359	Sphaerospora molnari
Cnidaria	GCF_932526225.1	reference genome	53	2927189	269418438	45351	Nematostella vectensis
Cnidaria	GCA_047906015.2	reference genome	696	31044737	457591908	165419	Astrangia poculata
Cnidaria	GCF_004324835.1	reference genome	108	1445523	286131786	151771	Dendronephthya gigantea
Xenacoelomorpha	GCF_963678635.1	reference genome	30	256031	753507827	84072	Symsagittifera roscoffensis
Xenacoelomorpha	GCA_032718475.1	reference genome	25	58979	407507662	172109	Nemertoderma westbladi
Xenacoelomorpha	GCA_900660155.1	reference genome	90	14256	949845848	442651	Hofstenia miamia
Xenacoelomorpha	GCF_964194025.1	reference genome	64	185568	1175981408	536237	Convolutriloba macropyga
Xenacoelomorpha	GCA_965655095.1	reference genome	45	171431	1504463545	2916798	Haplodiscus bocki
Xenacoelomorpha	GCA_964187785.1	na	23	373908	1066817370	2979135	Amphiscolops sp. MND2022
Gnathifera	GCA_010279815.1	reference genome	373	55822	106939251	10195	Brachionus plicatilis
Gnathifera	GCA_016802295.1	reference genome	779	174361	57707736	96890	Brachionus rotundiformis
Gnathifera	GCA_002922825.1	reference genome	110	26524	129626318	104777	Brachionus calyciflorus
Gnathifera	GCA_023231475.1	reference genome	132	45684	43872782	104778	Seison nebaliae
Gnathifera	GCA_021403095.1	na	33	87402	217117546	104782	Adineta vaga
Gnathifera	GCA_022393335.1	reference genome	56.7	32858	525309123	104788	Macrotrachela quadricornifera
Gnathifera	GCA_905250025.1	reference genome	89	178075	135599987	249248	Adineta ricciae
Gnathifera	GCA_019059635.1	reference genome	477.4	2428301	32722929	360698	Proales similis
Gnathifera	GCA_900239685.1	reference genome	210	55551	234715442	392029	Rotaria macrura
Gnathifera	GCA_965140935.1	reference genome	78	51186	173981101	392030	Rotaria magnacalcarata
Gnathifera	GCA_965120325.2	reference genome	76	109477	151870906	392032	Rotaria socialis
Gnathifera	GCA_905250125.1	reference genome	69	36551	360569275	392033	Rotaria sordida
Gnathifera	GCA_022207745.1	reference genome	169.7	2506101	132737077	392764	Brachionus rubens
Gnathifera	GCA_021432725.1	reference genome	570	5422639	56513240	396692	Brachionus angularis
Gnathifera	GCA_905250115.1	reference genome	198	32736	171140834	433720	Adineta steineri
Gnathifera	GCA_019054805.1	reference genome	363	6365377	114172357	667381	Brachionus manjavacas
Gnathifera	GCA_016987375.1	reference genome	153	25177	86146996	1199090	Brachionus koreanus
Gnathifera	GCA_905250885.1	reference genome	76	11859	368785172	1234261	Didymodactylos carnosus
Gnathifera	GCA_006352455.1	na	18	24091	70983965	1317657	Brachionus sp.'Tiscar'
Gnathifera	GCA_025491095.1	reference genome	70	3065462	230116674	1857775	Brachionus asplanchnoidis
Gnathifera	GCA_016802215.1	reference genome	231.7	4130136	106205255	2599771	Brachionus paranguensis
Gnathifera	GCA_905250055.1	na	53	34829	310426700	2762511	Rotaria sp.Silwood1
Gnathifera	GCA_905332165.1	na	33	17923	308789974	2762512	Rotaria sp.Silwood2
Platyhelminthes	GCA_002269645.1	reference genome	180	215276	764410778	282301	Macrostomum lignano
Platyhelminthes	GCA_057920485.1	reference genome	54	8105788	853691854	79327	Schmidtea mediterranea
Platyhelminthes	GCA_965235105.1	reference genome	48	6449511	3206858410	983666	Pseudobiceros splendidus
Platyhelminthes	GCA_034780555.1	reference genome	60	10867	580059439	2991684	Coelogynopora nodosa
Platyhelminthes	GCA_948099385.2	reference genome	30	9838557	1506673460	6192	Fasciola hepatica
Platyhelminthes	GCF_000699445.3	reference genome	130	20231032	400271889	6185	Schistosoma haematobium
Platyhelminthes	GCA_003604175.2	reference genome	200	838796	558124894	79923	Clonorchis sinensis
Platyhelminthes	GCA_029291075.1	reference genome	29	87067	939802929	116851	Eudiplozoon nipponicum
Platyhelminthes	GCA_056153285.1	reference genome	100	21803107	201350854	6216	Hymenolepis diminuta
Platyhelminthes	GCA_977118345.1	reference genome	106	6972067	713084067	56557	Triaenophorus nodulosus
Lophotrochozoa_Brachiopoda	GCF_001039355.2	reference genome	226	56068	406282338	7574	Lingula anatina
Lophotrochozoa_Phoronida	GCA_055505105.1	reference genome	62	9691388	529053937	115415	Phoronis australis
Lophotrochozoa_Nemertea	GCF_910592395.1	reference genome	79	9910080	391165532	88925	Lineus longissimus
Lophotrochozoa_Bryozoa	GCA_914767715.1	reference genome	66	7007262	339359933	95170	Membranipora membranacea
Lophotrochozoa_Gastrotricha	GCA_047495785.1	reference genome	83	3623880	121234032	1194616	Lepidodermella squamata
Lophotrochozoa_Mollusca (Bivalvia)	GCA_054850785.1	reference genome	32	149331216	2985579439	2731840	Gibbosula rochechouartii
Lophotrochozoa_Mollusca (Gastropoda)	GCA_965237135.1	reference genome	234	50589882	951685553	43341	Phorcus turbinatus
Lophotrochozoa_Mollusca (Cephalopoda)	GCA_054771915.1	reference genome	40	30166387	1636068110	2052491	Argonauta hians
Lophotrochozoa_Annelida (Polychaeta)	GCA_965649835.1	reference genome	44	50651150	2313176056	1928866	Leodice harassii
Lophotrochozoa_Annelida (Clitellata)	GCA_049355025.1	reference genome	100.17	16586161	758802142	320991	Amynthas aspergillum
Ecdysozoa_Nematoda	GCA_981261845.1	reference genome	224	24079000	171758850	1094334	Caenorhabditis portoensis
Ecdysozoa_Nematomorpha	GCA_964276485.1	reference genome	116	5676996	110642940	190579	Paragordius varius
Ecdysozoa_Priapulida	GCF_000485595.1	reference genome	100	10617	511723334	37621	Priapulus caudatus
Ecdysozoa_Onychophora	GCA_028023455.1	reference genome	28	972830	5601407764	2448278	Epiperipatus broadwayi
Ecdysozoa_Tardigrada	GCF_019649055.1	reference genome	107	1033953	170509133	2943436	Paramacrobiotus metropolitanus
Ecdysozoa_Arthropoda (Arachnida)	GCA_978018815.1	reference genome	54	322710697	3929230577	3229105	Aelurillus cypriotus
Ecdysozoa_Arthropoda (Insecta)	GCA_978019135.1	reference genome	47	257295000	7746787422	2034322	Troglophilus ovuliformis
Ecdysozoa_Arthropoda (Myriapoda)	GCA_982266715.1	reference genome	46	63664107	1480853019	41365	Scolopendra cingulata
Ecdysozoa_Arthropoda (Xiphosura)	GCA_011833715.1	reference genome	118	7608042	1668682064	6848	Carcinoscorpius rotundicauda
Ecdysozoa_Arthropoda (Crustacea)	GCA_059053995.1	reference genome	90	11757729	128201494	1820382	Daphnia sinensis
Hemichordata	GCF_000003605.3	reference genome	na	10076	775049609	10224	Saccoglossus kowalevskii
Hemichordata	GCF_041260155.1	reference genome	60	6516602	1161750505	63121	Ptychodera flava
Hemichordata	GCA_040954625.2	reference genome	51.8	2549480	329678253	509136	Balanoglossus misakiensis
Hemichordata	GCF_964340395.1	reference genome	62	6057000	590492491	1443217	Glandiceps talaboti
Echinodermata	GCF_902459465.1	reference genome	103	1383654	417601740	7604	Asterias rubens
Echinodermata	GCA_032158295.1	reference genome	583	2412868	483883685	7614	Pycnopodia helianthoides
Echinodermata	GCF_037042905.1	reference genome	120	30022000	811721768	7653	Lytechinus pictus
Echinodermata	GCF_018143015.1	reference genome	130	5852084	869582435	7654	Lytechinus variegatus
Echinodermata	GCF_000002235.5	reference genome	123	2052140	921840143	7668	Strongylocentrotus purpuratus
Echinodermata	GCA_978021865.1	reference genome	56	10216854	874098947	31178	Echinometra mathaei
Echinodermata	GCF_015706575.1	reference genome	150	2102889	608344308	46514	Patiria miniata
Echinodermata	GCA_965119575.1	reference genome	79	900404	1761190681	55617	Ophiocomina nigra
Echinodermata	GCA_037783415.2	reference genome	87.81	4344812	629802523	59564	Leptasterias polaris
Echinodermata	GCA_982266855.1	reference genome	63	13798000	488065082	60560	Astropecten polyacanthus
Echinodermata	GCF_963402885.1	reference genome	105	10359000	319614875	72669	Antedon bifida
Echinodermata	GCA_965120465.1	reference genome	38	2604949	3243334633	72727	Ophioderma longicauda
Echinodermata	GCF_039555335.1	reference genome	100	2118894	1570979288	82378	Amphiura filiformis
Echinodermata	GCF_964355755.1	reference genome	62	15123000	354494601	105859	Antedon mediterranea
Echinodermata	GCA_977007085.1	reference genome	78	12517539	594547997	109186	Linckia multifora
Echinodermata	GCA_029531755.1	reference genome	118.67	56107593	1391422550	206669	Holothuria leucospilota
Echinodermata	GCA_021234535.1	reference genome	514	4484386	719130506	240144	Stichopus chloronotus
Echinodermata	GCA_041228555.2	reference genome	86.64	6452813	666283405	290515	Solaster endeca
Echinodermata	GCF_037975245.1	reference genome	147	15848779	671643915	307972	Apostichopus japonicus
Echinodermata	GCA_964304565.2	reference genome	90	19932592	1171666099	491806	Holothuria sanctori
Echinodermata	GCA_964277075.1	reference genome	30	3531845	2293564397	691888	Astrospartus mediterraneus
Echinodermata	GCA_051362135.1	reference genome	83.23	28251829	354710330	707711	Cenometra bella
Echinodermata	GCA_046119055.2	reference genome	37.91	810598	2622731601	869193	Gorgonocephalus arcticus
Echinodermata	GCA_044090015.1	reference genome	126.56	5039122	708500503	1043166	Heliocidaris crassispina
Echinodermata	GCA_000969725.1	reference genome	275	6474	2764315159	1266684	Ophiothrix spiculata
Echinodermata	GCA_037976565.1	reference genome	200	359447	773163409	1328066	Mesocentrotus franciscanus
Echinodermata	GCA_000934455.1	reference genome	339	9587	873088235	1902835	Apostichopus parvimensis
Echinodermata	GCA_043643665.1	reference genome	114	2259232	1267624991	2692762	Ophiura sarsii vadicola
Echinodermata	GCA_025631205.1	reference genome	130	6777	597070271	2723955	Nesometra sesokonis
Echinodermata	GCA_051549935.1	reference genome	199.45	13658324	2289615330	2785214	Cercodemas anceps
Cephalochordata	GCF_000003815.2	reference genome	10.32	50413	513445848	7739	Branchiostoma floridae
Cephalochordata	GCF_035083965.1	reference genome	87.25	11195901	458287516	7740	Branchiostoma lanceolatum
Cephalochordata	GCF_001625305.1	reference genome	29.86	47280	426108443	7741	Branchiostoma belcheri
Urochordata	GCA_965202585.1	reference genome	80	12003043	801799274	34761	Thalia democratica
Urochordata	GCF_907165135.1	reference genome	222	4700139	64272340	34765	Oikopleura dioica
Urochordata	GCF_963082875.1	reference genome	156	5034709	129309972	431183	Corella eumyota
Urochordata	GCA_964656945.1	reference genome	129	9971324	189962550	395376	Phallusia fumigata
Urochordata	GCF_964204865.1	reference genome	75	17108000	376784849	7725	Styela clava
Urochordata	GCA_982130965.1	reference genome	74	9128188	202696769	62933	Botrylloides diegensis
Urochordata	GCF_051294905.1	reference genome	146	4368170	495547953	30301	Botryllus schlosseri
Urochordata	GCA_947561715.1	reference genome	74	11890000	196955708	38561	Ascidia mentula
Urochordata	GCA_965234635.1	reference genome	34	6987731	152230394	201963	Halocynthia papillosa
Urochordata	GCF_947623445.1	reference genome	117	8263119	210074726	159417	Clavelina lepadiformis
Urochordata	GCA_965643705.1	reference genome	104	31732028	829254971	516032	Didemnum vexillum
Urochordata	GCA_981692175.1	reference genome	247	2561150	446060772	1917237	Distaplia bermudensis
Urochordata	GCF_918807975.1	reference genome	65	14915238	605489456	2771288	Aplidium turbinatum
Urochordata	GCA_047324265.1	reference genome	283	196941	903291299	942553	Salpa aspera
Urochordata	GCF_018327825.1	reference genome	1352	2616636	140258035	7719	Ciona intestinalis
Urochordata	GCA_048173355.1	reference genome	175.53	982051	477708536	2851995	Perophora annectens
Urochordata	GCA_980750685.1	reference genome	95	1179622	152917314	2930585	Diazona violacea
Urochordata	GCA_979627895.1	reference genome	292	21196232	369481869	2057147	Botrylloides israeliense
Cyclostomata	GCA_056783735.1	reference genome	100.64	1450558	1996277198	7764	Eptatretus burgeri
Cyclostomata	GCA_041222605.1	reference genome	134	2770831	1888650646	7767	Eptatretus okinoseanus
Cyclostomata	GCA_035128595.1	reference genome	250	12689	2517612418	50612	Eptatretus atami
Cyclostomata	GCF_964187855.1	reference genome	30	739991	3057504053	7769	Myxine glutinosa
Cyclostomata	GCA_036362915.1	reference genome	90	11576	559983274	71168	Geotria australis
Cyclostomata	GCA_036362905.1	reference genome	400	8019	789044620	7755	Mordacia mordax
Cyclostomata	GCA_014621495.2	reference genome	43	19580	927744424	245074	Entosphenus tridentatus
Cyclostomata	GCF_965212315.1	reference genome	44	3005152	960362263	7750	Lampetra planeri
Cyclostomata	GCF_015708825.2	reference genome	96.13	1412731	1063012140	7753	Lethenteron reissneri
Cyclostomata	GCF_048934315.1	reference genome	44	4594409	1808332251	7757	Petromyzon marinus
Cyclostomata	GCA_056783725.1	reference genome	50.64	5931492	949764836	682880	Eudontomyzon morii
Cyclostomata	GCA_018977245.1	reference genome	87.8	1601692	1074727531	980415	Lethenteron camtschaticum
Chondrichthyes	GCA_035084275.1	reference genome	64	1059761	1003172678	7873	Hydrolagus colliei
Chondrichthyes	GCF_035084215.1	reference genome	60	4905566	3249915908	212740	Heptranchias perlo
Chondrichthyes	GCF_036365525.1	reference genome	35.7	3418954	6013048672	7792	Heterodontus francisci
Chondrichthyes	GCF_030684315.1	reference genome	48.69	6162596	3198515386	3053191	Stegostoma tigrinum
Chondrichthyes	GCF_028641065.1	reference genome	150	5310386	2190844947	7782	Leucoraja erinaceus
Chondrichthyes	GCA_963514005.1	reference genome	33	2048057	2700450552	223862	Raja brachyura
Chondrichthyes	GCA_035221665.1	reference genome	247.8	1743244	2756528269	432798	Okamejei kenojei
Chondrichthyes	GCA_977017645.1	reference genome	30	3050324	6221090334	7788	Torpedo marmorata
Chondrichthyes	GCF_044704955.1	reference genome	43.2	1893048	5923050865	55135	Pristiophorus japonicus
Chondrichthyes	GCF_963921235.1	reference genome	100	23327000	3475679493	723540	Mobula hypostoma
Chondrichthyes	GCF_030028105.1	reference genome	32	7300797	4014635230	1983395	Mobula birostris
Chondrichthyes	GCF_047496885.1	reference genome	34.5	3187150	6451259511	75743	Scyliorhinus torazame
Chondrichthyes	GCF_018977255.1	reference genome	68.84	1626615	991519186	7868	Callorhinchus milii
Euteleostomi	GCF_000001405.40	reference genome	na	57879411	3099441038	9606	Homo sapiens
Euteleostomi	GCF_000001635.27	reference genome	na	59462871	2728206152	10090	Mus musculus
Euteleostomi	GCF_016700215.2	reference genome	102.01	17744542	1050511239	9031	Gallus gallus
Euteleostomi	GCF_000004195.4	reference genome	111.5	14634335	1451283599	8364	Xenopus tropicalis
Euteleostomi	GCA_051020865.1	reference genome	101	16043130	342830278	99883	Tetraodon nigroviridis
Euteleostomi	GCF_040954835.1	reference genome	50.38	20019514	1200589847	7918	Lepisosteus oculatus
Euteleostomi	GCF_035594765.1	reference genome	35	26091274	1850740401	28377	Anolis carolinensis
Euteleostomi	GCF_037176945.1	reference genome	41.94	42076942	2947609019	7897	Latimeria chalumnae
Euteleostomi	GCF_016835505.1	reference genome	64	4528139	3673863536	55291	Polypterus senegalus
Euteleostomi	GCF_902713425.1	reference genome	61	8776027	1899794300	7906	Acipenser ruthenus
Teleostei	GCF_027409825.1	reference genome	49.19	4898551	828681152	13676	Scomber japonicus
Teleostei	GCF_024713975.1	reference genome	83	24354382	588170514	8255	Paralichthys olivaceus
