Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Echinodermata	GCA_046129245.2	reference genome	33.66	381012	1076569323	60590	Pseudarchaster parelii
Echinodermata	GCF_963402885.1	reference genome	105	10359000	319614875	72669	Antedon bifida
Echinodermata	GCA_035610815.1	reference genome	35	311019	1592177811	72673	Ophiura ophiura
Echinodermata	GCA_964619385.1	reference genome	41	4092000	627004474	72721	Echinaster sepositus
Echinodermata	GCA_965120465.1	reference genome	38	2604949	3243334633	72727	Ophioderma longicauda
Echinodermata	GCF_039555335.1	reference genome	100	2118894	1570979288	82378	Amphiura filiformis
Echinodermata	GCA_973358045.1	reference genome	27	3198013	1661816349	82558	Acrocnida brachiata
Echinodermata	GCF_040938485.1	reference genome	10	1566639	1754659819	105358	Diadema antillarum
Echinodermata	GCA_029962745.1	reference genome	39	128000	760415207	105361	Echinometra lucunter
Echinodermata	GCF_964355755.1	reference genome	62	15123000	354494601	105859	Antedon mediterranea
Echinodermata	GCA_032273685.1	reference genome	80	4286	271914524	105949	Pteraster tesselatus
Echinodermata	GCA_977071125.1	reference genome	48	5673591	578550905	109184	Linckia guildingi
Echinodermata	GCA_977007085.1	reference genome	78	12517539	594547997	109186	Linckia multifora
Echinodermata	GCF_001949145.1	reference genome	46	49680	383843944	133434	Acanthaster planci
Echinodermata	GCA_032356045.1	reference genome	80	1928	556583726	136944	Mediaster aequalis
Echinodermata	GCA_036244855.1	reference genome	100	12231	791843575	161071	Temnopleurus reevesii
Echinodermata	GCA_964213155.1	reference genome	62	436166	389087614	195879	Asterina phylactica
Echinodermata	GCA_051397855.1	reference genome	56	21574430	897745653	200383	Isostichopus fuscus
Echinodermata	GCA_029531755.1	reference genome	118.67	56107593	1391422550	206669	Holothuria leucospilota
Echinodermata	GCA_046129055.2	reference genome	38.49	399699	919087914	232941	Ctenodiscus crispatus
Echinodermata	GCA_021234535.1	reference genome	514	4484386	719130506	240144	Stichopus chloronotus
Echinodermata	GCA_037179385.1	reference genome	40	4748000	1192182228	269548	Holothuria scabra
Echinodermata	GCA_031471515.1	reference genome	50	2313	774611544	273752	Dendraster excentricus
Echinodermata	GCA_041228555.2	reference genome	86.64	6452813	666283405	290515	Solaster endeca
Echinodermata	GCA_965124015.1	reference genome	336	2855574	533272402	290518	Anseropoda placenta
Echinodermata	GCF_037975245.1	reference genome	147	15848779	671643915	307972	Apostichopus japonicus
Echinodermata	GCA_023653785.1	reference genome	51.3	48378	2684526435	335713	Ophioderma brevispina
Echinodermata	GCA_021014325.1	reference genome	116	3100000	561050340	466999	Plazaster borealis
Echinodermata	GCA_964304565.2	reference genome	90	19932592	1171666099	491806	Holothuria sanctori
Echinodermata	GCA_050613385.1	reference genome	59	12001294	909188839	566282	Holothuria ocellata
Echinodermata	GCA_009801055.1	reference genome	23.5	2830	689114456	566292	Stichopus horrens
Echinodermata	GCA_010015985.2	reference genome	80	1748	948570139	571810	Actinopyga echinites
Echinodermata	GCA_056882625.1	reference genome	71	20201534	833846589	576894	Stichopus monotuberculatus
Echinodermata	GCA_900067635.1	reference genome	21	256	1252116408	576896	Australostichopus mollis
Echinodermata	GCA_964277075.1	reference genome	30	3531845	2293564397	691888	Astrospartus mediterraneus
Echinodermata	GCA_051362135.1	reference genome	83.23	28251829	354710330	707711	Cenometra bella
Echinodermata	GCA_027574765.1	reference genome	105	2240	734575371	861512	Molpadia intermedia
Echinodermata	GCA_035610835.1	na	80	296688	1574763175	861515	Ophiura sarsii
Echinodermata	GCA_046119055.2	reference genome	37.91	810598	2622731601	869193	Gorgonocephalus arcticus
Echinodermata	GCA_025400115.1	reference genome	130	1981	1232190579	869196	Pentamera pediparva
Echinodermata	GCA_037951105.2	reference genome	22.15	120193	1202550093	869203	Echinarachnius parma
Echinodermata	GCA_044090015.1	reference genome	126.56	5039122	708500503	1043166	Heliocidaris crassispina
Echinodermata	GCA_050947865.1	reference genome	40	5179660	1555902818	1072188	Holothuria fuscocinerea
Echinodermata	GCA_981449225.1	reference genome	48	3769000	1775983080	1072197	Holothuria poli
Echinodermata	GCA_037783545.2	na	99.13	2357602	795239806	1106094	Henricia sp. BOLD:AAB3569
Echinodermata	GCA_000969725.1	reference genome	275	6474	2764315159	1266684	Ophiothrix spiculata
Echinodermata	GCA_037893225.2	reference genome	78.91	1385165	944262662	1277726	Hippasteria phrygiana
Echinodermata	GCA_964341645.1	reference genome	36	13203000	364454327	1320720	Leptometra celtica
Echinodermata	GCA_037976565.1	reference genome	200	359447	773163409	1328066	Mesocentrotus franciscanus
Echinodermata	GCA_027574725.1	reference genome	120	313	171204695	1497336	Parastichopus regalis
Echinodermata	GCF_011630105.1	reference genome	100	19051	589628371	1529436	Anneissia japonica
Echinodermata	GCA_047653825.1	reference genome	20.3	82252	775578330	1707561	Parastichopus tremulus
Echinodermata	GCA_011317855.2	reference genome	110	1029	1444872263	1769963	Paelopatides confundens
Echinodermata	GCA_056552365.1	reference genome	22.5	1505878	1546974338	1774088	Eupentacta fraudatrix
Echinodermata	GCA_000934455.1	reference genome	339	9587	873088235	1902835	Apostichopus parvimensis
Echinodermata	GCA_025399915.1	reference genome	110	923	171706426	1902855	Enypniastes eximia
Echinodermata	GCA_965197335.1	reference genome	40	1210738	1125641135	1933096	Gracilechinus acutus
Echinodermata	GCA_058545045.1	reference genome	60	2893	711673219	2032702	Apostichopus californicus
Echinodermata	GCA_010014835.2	reference genome	110	3616	500183690	2497127	Apostichopus leukothele
Echinodermata	GCA_027574785.1	reference genome	100	3030	460520177	2665490	Orphnurgus asper
Echinodermata	GCA_027575025.1	reference genome	100	2906	975746094	2665651	Scotoplanes globosa
Echinodermata	GCA_043643665.1	reference genome	114	2259232	1267624991	2692762	Ophiura sarsii vadicola
Echinodermata	GCA_949987565.1	reference genome	50	755984	471186708	2723838	Luidia sarsii
Echinodermata	GCA_025631205.1	reference genome	130	6777	597070271	2723955	Nesometra sesokonis
Echinodermata	GCA_020152595.1	reference genome	38	1217086	1106931595	2743191	Chiridota heheva
Echinodermata	GCA_051549935.1	reference genome	199.45	13658324	2289615330	2785214	Cercodemas anceps
Echinodermata	GCA_029582265.1	na	50	376173	1001964507	2989510	Zoroaster sp. YZ-2022
Echinodermata	GCA_978019465.1	reference genome	46	12950000	1456918222	3254613	Actinopyga flammea
Echinodermata	GCA_047655345.1	reference genome	104	253940	766548913	3258494	Stichopus fusiformiossa
Echinodermata	GCA_055474125.1	na	56.9	19016247	1136874113	3458274	Glyptometra sp. CNS01629
Hemichordata	GCF_000003605.3	reference genome	na	10076	775049609	10224	Saccoglossus kowalevskii
Hemichordata	GCF_041260155.1	reference genome	60	6516602	1161750505	63121	Ptychodera flava
Hemichordata	GCA_040954625.2	reference genome	51.8	2549480	329678253	509136	Balanoglossus misakiensis
Hemichordata	GCF_964340395.1	reference genome	62	6057000	590492491	1443217	Glandiceps talaboti
