Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Urochordata	GCA_982093745.1	reference genome	26	82869	435316480	286194	Diplosoma spongiforme
Urochordata	GCA_977014785.1	reference genome	34	491049	879284971	322843	Didemnum molle
Urochordata	GCA_963680785.1	reference genome	47	1136502	936198509	322858	Diplosoma virens
Urochordata	GCA_964656945.1	reference genome	129	9971324	189962550	395376	Phallusia fumigata
Urochordata	GCF_963082875.1	reference genome	156	5034709	129309972	431183	Corella eumyota
Urochordata	GCA_966112915.1	reference genome	33	5641777	531135593	439819	Pycnoclavella producta
Urochordata	GCA_977109195.1	reference genome	33	5359238	188886422	439822	Microcosmus squamiger
Urochordata	GCA_965643705.1	reference genome	104	31732028	829254971	516032	Didemnum vexillum
Urochordata	GCA_981691995.1	reference genome	352	1069128	320678343	521046	Microcosmus polymorphus
Urochordata	GCA_047495815.1	reference genome	188	191230	742826147	569448	Salpa thompsoni
Urochordata	GCA_981691465.1	reference genome	1493	3355943	129131147	581057	Botrylloides violaceus
Urochordata	GCA_963675345.1	reference genome	27	2293667	906920133	641091	Trididemnum clinides
Urochordata	GCA_963965965.1	reference genome	23	1227630	1050962901	644239	Trididemnum nubilum
Urochordata	GCA_047324265.1	reference genome	283	196941	903291299	942553	Salpa aspera
Urochordata	GCA_964006365.1	reference genome	32	701068	624584906	1128088	Trididemnum miniatum
Urochordata	GCA_965654205.1	reference genome	199	7511750	312516346	1273101	Asterocarpa humilis
Urochordata	GCA_966096145.1	reference genome	42	806009	317486495	1298853	Ascidiella scabra
Urochordata	GCA_055755195.1	reference genome	254	909387	150223747	1386347	Phallusia philippinensis
Urochordata	GCA_981692185.1	reference genome	169	1243442	562276130	1656920	Symplegma brakenhielmi
Urochordata	GCA_977071135.1	reference genome	78	10502235	382982703	1774210	Lissoclinum perforatum
Urochordata	GCA_981692175.1	reference genome	247	2561150	446060772	1917237	Distaplia bermudensis
Urochordata	GCA_004367955.1	reference genome	74	1346	396466979	2005485	Bathochordaeus stygius
Urochordata	GCA_004367855.1	reference genome	70	20125	643662591	2056977	Oikopleura vanhoeffeni
Urochordata	GCA_979627895.1	reference genome	292	21196232	369481869	2057147	Botrylloides israeliense
Urochordata	GCA_965278745.1	reference genome	43	206000	689830028	2170621	Polycarpa mamillaris
Urochordata	GCA_004367875.1	reference genome	126	10311	365958051	2500139	Oikopleura albicans
Urochordata	GCA_004367975.1	reference genome	26	1905	874018965	2501294	Mesochordaeus erythrocephalus
Urochordata	GCF_918807975.1	reference genome	65	14915238	605489456	2771288	Aplidium turbinatum
Urochordata	GCA_048173355.1	reference genome	175.53	982051	477708536	2851995	Perophora annectens
Urochordata	GCA_980750685.1	reference genome	95	1179622	152917314	2930585	Diazona violacea
Urochordata	GCA_974891035.1	reference genome	64	8009370	807877887	2980188	Aplidium pallidum
Urochordata	GCA_981110275.1	reference genome	160	3003951	132676056	2980201	Corella parallelogramma
Urochordata	GCA_034620365.1	na	100	838261	105771288	3019176	Pegea sp. RAD2-039
