candidate_accession	representative_accession
NP_001401942.1	NP_001401942.1
NP_001401944.1	NP_001401944.1
NP_001402773.1	NP_001402773.1
NP_001413960.1	NP_001413960.1
NP_001416068.1	NP_001416068.1
NP_001431613.1	NP_001431613.1
NP_001431614.1	NP_001431614.1
NP_008930.2	NP_008930.2
NP_014100.2	NP_014100.2
NP_014526.1	NP_014526.1
NP_056084.1	NP_056084.1
NP_060579.3	NP_060579.3
NP_073741.3	NP_073741.3
NP_080433.1	NP_080433.1
NP_190161.2	NP_190161.2
NP_190162.4	NP_190162.4
NP_491621.1	NP_491621.1
NP_491834.1	NP_491834.1
NP_491841.2	NP_491841.2
NP_491842.2	NP_491842.2
NP_492446.3	NP_492446.3
NP_498099.1	NP_498099.1
NP_498100.1	NP_498100.1
NP_505067.1	NP_505067.1
NP_566048.1	NP_566048.1
NP_568798.1	NP_568798.1
NP_585909.2	NP_585909.2
NP_593157.1	NP_593157.1
NP_593571.1	NP_593571.1
NP_594901.1	NP_594901.1
NP_595210.1	NP_595210.1
NP_649693.3	NP_649693.3
NP_705766.3	NP_705766.3
NP_731129.1	NP_731129.1
NP_780681.2	NP_780681.2
NP_932110.1	NP_932110.1
NP_941002.3	NP_941002.3
NP_984654.1	NP_984654.1
NP_996325.1	NP_996325.1
WP_338171640.1	WP_338171640.1
WP_338171946.1	WP_338171946.1
WP_438995095.1	WP_438995095.1
XP_001012854.1	XP_001012854.1
XP_001012858.2	XP_001012858.2
XP_001017236.3	XP_001017236.3
XP_001029623.2	XP_001029623.2
XP_001083145.4	XP_001083145.4
XP_001083177.2	XP_001083177.2
XP_001083489.2	XP_001083489.2
XP_001136690.1	XP_001136690.1
XP_001138296.1	XP_001138296.1
XP_001146430.2	XP_001146430.2
XP_001213434.1	XP_001213434.1
XP_001216971.1	XP_001216971.1
XP_001218835.1	XP_001218835.1
XP_001222246.1	XP_001222246.1
XP_001223997.1	XP_001223997.1
XP_001241318.1	XP_001241318.1
XP_001242254.2	XP_001242254.2
XP_001244943.2	XP_001244943.2
XP_001259904.1	XP_001259904.1
XP_001274270.1	XP_001274270.1
XP_001316155.1	XP_001316155.1
XP_001335519.7	XP_001335519.7
XP_001347437.1	XP_001347437.1
XP_001350055.1	XP_001350055.1
XP_001355451.4	XP_001355451.4
XP_001358484.3	XP_001358484.3
XP_001360053.2	XP_001360053.2
XP_001366127.2	XP_001366127.2
XP_001371537.4	XP_001371537.4
XP_001375646.3	XP_001375646.3
XP_001387852.2	XP_001387852.2
XP_001390259.1	XP_001390259.1
XP_001418510.1	XP_001418510.1
XP_001418861.1	XP_001418861.1
XP_001419800.1	XP_001419800.1
XP_001423802.1	XP_001423802.1
XP_001430679.1	XP_001430679.1
XP_001448621.1	XP_001448621.1
XP_001452417.1	XP_001452417.1
XP_001452852.1	XP_001452852.1
XP_001452853.1	XP_001452853.1
XP_001459083.1	XP_001459083.1
XP_001460016.1	XP_001460016.1
XP_001460964.1	XP_001460964.1
XP_001463285.1	XP_001463285.1
XP_001464279.1	XP_001464279.1
XP_001465112.1	XP_001465112.1
XP_001465192.1	XP_001465192.1
XP_001465471.1	XP_001465471.1
XP_001467936.1	XP_001467936.1
XP_001470115.1	XP_001470115.1
XP_001470386.1	XP_001470386.1
XP_001470395.1	XP_001470395.1
XP_001485907.2	XP_001485907.2
XP_001493802.2	XP_001493802.2
XP_001507658.3	XP_001507658.3
XP_001526920.2	XP_001526920.2
XP_001536995.1	XP_001536995.1
XP_001542787.1	XP_001542787.1
XP_001562273.1	XP_001562273.1
XP_001562283.1	XP_001562283.1
XP_001562573.1	XP_001562573.1
XP_001563382.1	XP_001563382.1
XP_001564261.1	XP_001564261.1
XP_001564906.1	XP_001564906.1
XP_001566114.1	XP_001566114.1
XP_001567621.1	XP_001567621.1
XP_001594402.1	XP_001594402.1
XP_001595356.1	XP_001595356.1
XP_001602043.2	XP_001602043.2
XP_001605928.2	XP_001605928.2
XP_001607530.2	XP_001607530.2
XP_001610602.1	XP_001610602.1
XP_001610626.2	XP_001610626.2
XP_001613866.1	XP_001613866.1
XP_001614111.1	XP_001614111.1
XP_001614467.1	XP_001614467.1
XP_001634038.3	XP_001634038.3
XP_001642660.1	XP_001642660.1
XP_001644771.1	XP_001644771.1
XP_001650674.2	XP_001650674.2
XP_001654283.2	XP_001654283.2
XP_001657730.2	XP_001657730.2
XP_001680977.1	XP_001680977.1
XP_001682729.1	XP_001682729.1
XP_001682818.1	XP_001682818.1
XP_001683139.1	XP_001683139.1
XP_001684046.2	XP_001684046.2
XP_001684056.2	XP_001684056.2
XP_001684357.1	XP_001684357.1
XP_001685568.1	XP_001685568.1
XP_001687695.1	XP_001687695.1
XP_001698547.2	XP_001698547.2
XP_001704540.1	XP_001704540.1
XP_001706266.1	XP_001706266.1
XP_001729249.1	XP_001729249.1
XP_001731664.1	XP_001731664.1
XP_001733457.1	XP_001733457.1
XP_001736885.1	XP_001736885.1
XP_001737054.1	XP_001737054.1
XP_001738379.1	XP_001738379.1
XP_001739718.1	XP_001739718.1
XP_001749366.1	XP_001749366.1
XP_001792741.1	XP_001792741.1
XP_001798719.1	XP_001798719.1
XP_001804010.1	XP_001804010.1
XP_001838227.2	XP_001838227.2
XP_001838228.2	XP_001838228.2
XP_001873555.1	XP_001873555.1
XP_001879989.1	XP_001879989.1
XP_001886014.1	XP_001886014.1
XP_001886810.1	XP_001886810.1
XP_001889490.1	XP_001889490.1
XP_001901178.1	XP_001901178.1
XP_001901645.1	XP_001901645.1
XP_001907009.1	XP_001907009.1
XP_001909248.1	XP_001909248.1
XP_001938556.2	XP_001938556.2
XP_001939760.2	XP_001939760.2
XP_001942202.1	XP_001942202.1
XP_001948412.2	XP_001948412.2
XP_001948967.1	XP_001948967.1
XP_001949146.2	XP_001949146.2
XP_001953204.1	XP_001953204.1
XP_001955278.1	XP_001955278.1
XP_001956794.2	XP_001956794.2
XP_001963903.2	XP_001963903.2
XP_001967033.3	XP_001967033.3
XP_001977058.1	XP_001977058.1
XP_001977427.1	XP_001977427.1
XP_001979140.1	XP_001979140.1
XP_001981903.1	XP_001981903.1
XP_001982316.1	XP_001982316.1
XP_001982492.1	XP_001982492.1
XP_001984355.1	XP_001984355.1
XP_001991738.1	XP_001991738.1
XP_001993762.1	XP_001993762.1
XP_002002499.1	XP_002002499.1
XP_002009921.1	XP_002009921.1
XP_002013919.1	XP_002013919.1
XP_002019938.1	XP_002019938.1
XP_002021959.1	XP_002021959.1
XP_002029718.1	XP_002029718.1
XP_002032160.1	XP_002032160.1
XP_002038641.1	XP_002038641.1
XP_002040334.1	XP_002040334.1
XP_002044042.1	XP_002044042.1
XP_002044502.2	XP_002044502.2
XP_002054239.1	XP_002054239.1
XP_002054643.1	XP_002054643.1
XP_002055171.1	XP_002055171.1
XP_002057837.1	XP_002057837.1
XP_002067337.2	XP_002067337.2
XP_002068933.3	XP_002068933.3
XP_002074206.2	XP_002074206.2
XP_002093463.1	XP_002093463.1
XP_002096708.2	XP_002096708.2
XP_002098250.1	XP_002098250.1
XP_002099149.1	XP_002099149.1
XP_002099778.1	XP_002099778.1
XP_002101128.1	XP_002101128.1
XP_002101355.3	XP_002101355.3
XP_002110527.1	XP_002110527.1
XP_002110980.1	XP_002110980.1
XP_002112101.1	XP_002112101.1
XP_002113905.1	XP_002113905.1
XP_002130666.2	XP_002130666.2
XP_002141038.1	XP_002141038.1
XP_002145514.2	XP_002145514.2
XP_002159462.2	XP_002159462.2
XP_002166747.3	XP_002166747.3
XP_002172430.1	XP_002172430.1
XP_002173576.1	XP_002173576.1
XP_002173589.1	XP_002173589.1
XP_002174416.1	XP_002174416.1
XP_002176015.1	XP_002176015.1
XP_002182621.1	XP_002182621.1
XP_002182622.1	XP_002182622.1
XP_002183822.1	XP_002183822.1
XP_002185169.1	XP_002185169.1
XP_002258796.1	XP_002258796.1
XP_002260015.1	XP_002260015.1
XP_002262345.1	XP_002262345.1
XP_002277771.2	XP_002277771.2
XP_002282332.2	XP_002282332.2
XP_002296066.1	XP_002296066.1
XP_002301312.2	XP_002301312.2
XP_002316267.2	XP_002316267.2
XP_002371366.1	XP_002371366.1
XP_002417175.1	XP_002417175.1
XP_002427922.1	XP_002427922.1
XP_002428725.1	XP_002428725.1
XP_002428784.1	XP_002428784.1
XP_002429204.1	XP_002429204.1
XP_002445676.1	XP_002445676.1
XP_002451420.1	XP_002451420.1
XP_002456119.2	XP_002456119.2
XP_002457894.2	XP_002457894.2
XP_002467309.2	XP_002467309.2
XP_002487018.1	XP_002487018.1
XP_002493638.1	XP_002493638.1
XP_002495756.1	XP_002495756.1
XP_002500013.1	XP_002500013.1
XP_002506204.1	XP_002506204.1
XP_002508084.1	XP_002508084.1
XP_002524216.2	XP_002524216.2
XP_002542107.1	XP_002542107.1
XP_002543040.1	XP_002543040.1
XP_002544722.1	XP_002544722.1
XP_002550238.1	XP_002550238.1
XP_002551518.1	XP_002551518.1
XP_002565473.2	XP_002565473.2
XP_002618757.2	XP_002618757.2
XP_002621078.1	XP_002621078.1
XP_002622545.1	XP_002622545.1
XP_002635156.1	XP_002635156.1
XP_002637804.1	XP_002637804.1
XP_002640105.1	XP_002640105.1
XP_002647026.1	XP_002647026.1
XP_002649102.1	XP_002649102.1
XP_002669192.1	XP_002669192.1
XP_002678238.1	XP_002678238.1
XP_002692192.2	XP_002692192.2
XP_002717334.1	XP_002717334.1
XP_002721862.2	XP_002721862.2
XP_002732726.1	XP_002732726.1
XP_002742099.2	XP_002742099.2
XP_002742930.3	XP_002742930.3
XP_002744874.1	XP_002744874.1
XP_002750184.4	XP_002750184.4
XP_002760981.4	XP_002760981.4
XP_002760982.2	XP_002760982.2
XP_002768168.1	XP_002768168.1
XP_002774596.1	XP_002774596.1
XP_002777337.1	XP_002777337.1
XP_002781408.1	XP_002781408.1
XP_002781666.1	XP_002781666.1
XP_002786575.1	XP_002786575.1
XP_002787397.1	XP_002787397.1
XP_002789310.2	XP_002789310.2
XP_002802516.3	XP_002802516.3
XP_002810865.2	XP_002810865.2
XP_002819963.4	XP_002819963.4
XP_002835340.1	XP_002835340.1
XP_002836366.1	XP_002836366.1
XP_002839346.1	XP_002839346.1
XP_002839720.1	XP_002839720.1
XP_002849429.1	XP_002849429.1
XP_002849859.1	XP_002849859.1
XP_002864273.1	XP_002864273.1
XP_002879814.1	XP_002879814.1
XP_002880188.1	XP_002880188.1
XP_002896602.1	XP_002896602.1
XP_002901367.1	XP_002901367.1
XP_002907686.1	XP_002907686.1
XP_002910390.1	XP_002910390.1
XP_002919704.1	XP_002919704.1
XP_002931502.3	XP_002931502.3
XP_002937419.2	XP_002937419.2
XP_002940378.2	XP_002940378.2
XP_002941502.3	XP_002941502.3
XP_002945638.1	XP_002945638.1
XP_002947087.1	XP_002947087.1
XP_002948895.1	XP_002948895.1
XP_002952137.1	XP_002952137.1
XP_002955154.1	XP_002955154.1
XP_002973804.2	XP_002973804.2
XP_002983593.2	XP_002983593.2
XP_002993209.2	XP_002993209.2
XP_002997731.1	XP_002997731.1
XP_002998992.1	XP_002998992.1
XP_002999251.1	XP_002999251.1
XP_003001273.1	XP_003001273.1
XP_003008038.1	XP_003008038.1
XP_003015730.1	XP_003015730.1
XP_003015780.1	XP_003015780.1
XP_003025305.1	XP_003025305.1
XP_003025551.1	XP_003025551.1
XP_003026759.1	XP_003026759.1
XP_003028342.1	XP_003028342.1
XP_003035643.1	XP_003035643.1
XP_003044635.1	XP_003044635.1
XP_003051370.1	XP_003051370.1
XP_003052397.1	XP_003052397.1
XP_003056692.1	XP_003056692.1
XP_003057915.1	XP_003057915.1
XP_003069514.1	XP_003069514.1
XP_003070420.2	XP_003070420.2
XP_003071814.2	XP_003071814.2
XP_003079952.2	XP_003079952.2
XP_003080206.1	XP_003080206.1
XP_003081277.2	XP_003081277.2
XP_003091213.2	XP_003091213.2
XP_003093191.2	XP_003093191.2
XP_003096489.2	XP_003096489.2
XP_003102379.2	XP_003102379.2
XP_003105101.2	XP_003105101.2
XP_003110555.2	XP_003110555.2
XP_003111878.2	XP_003111878.2
XP_003112162.2	XP_003112162.2
XP_003123800.1	XP_003123800.1
XP_003130685.3	XP_003130685.3
XP_003138034.1	XP_003138034.1
XP_003141256.1	XP_003141256.1
XP_003144894.2	XP_003144894.2
XP_003169626.1	XP_003169626.1
XP_003170112.1	XP_003170112.1
XP_003193639.1	XP_003193639.1
XP_003196316.1	XP_003196316.1
XP_003196621.1	XP_003196621.1
XP_003204892.2	XP_003204892.2
XP_003216346.1	XP_003216346.1
XP_003220335.3	XP_003220335.3
XP_003224050.1	XP_003224050.1
XP_003230929.1	XP_003230929.1
XP_003244629.1	XP_003244629.1
XP_003244630.1	XP_003244630.1
XP_003246117.1	XP_003246117.1
XP_003246627.1	XP_003246627.1
XP_003263083.3	XP_003263083.3
XP_003274127.2	XP_003274127.2
XP_003283863.1	XP_003283863.1
XP_003286312.1	XP_003286312.1
XP_003288739.1	XP_003288739.1
XP_003289155.1	XP_003289155.1
XP_003289906.1	XP_003289906.1
XP_003289908.1	XP_003289908.1
XP_003290813.1	XP_003290813.1
XP_003291448.1	XP_003291448.1
XP_003292526.1	XP_003292526.1
XP_003294600.1	XP_003294600.1
XP_003310670.5	XP_003310670.5
XP_003323340.2	XP_003323340.2
XP_003328311.1	XP_003328311.1
XP_003352980.1	XP_003352980.1
XP_003367656.1	XP_003367656.1
XP_003376021.1	XP_003376021.1
XP_003377757.1	XP_003377757.1
XP_003381219.1	XP_003381219.1
XP_003384352.1	XP_003384352.1
XP_003399069.1	XP_003399069.1
XP_003399070.1	XP_003399070.1
XP_003400629.1	XP_003400629.1
XP_003408161.1	XP_003408161.1
XP_003410746.4	XP_003410746.4
XP_003419525.3	XP_003419525.3
XP_003437714.1	XP_003437714.1
XP_003438633.1	XP_003438633.1
XP_003451809.1	XP_003451809.1
XP_003467902.1	XP_003467902.1
XP_003468693.3	XP_003468693.3
XP_003487869.1	XP_003487869.1
XP_003489038.1	XP_003489038.1
XP_003490519.1	XP_003490519.1
XP_003496554.1	XP_003496554.1
XP_003509434.1	XP_003509434.1
XP_003521938.1	XP_003521938.1
XP_003529982.1	XP_003529982.1
XP_003566984.1	XP_003566984.1
XP_003573837.1	XP_003573837.1
XP_003643001.2	XP_003643001.2
XP_003645818.1	XP_003645818.1
XP_003651921.1	XP_003651921.1
XP_003653296.1	XP_003653296.1
XP_003659822.1	XP_003659822.1
XP_003660620.1	XP_003660620.1
XP_003668012.1	XP_003668012.1
XP_003671423.2	XP_003671423.2
XP_003673936.1	XP_003673936.1
XP_003675821.1	XP_003675821.1
XP_003681521.1	XP_003681521.1
XP_003683572.1	XP_003683572.1
XP_003688720.1	XP_003688720.1
XP_003691868.1	XP_003691868.1
XP_003701838.1	XP_003701838.1
XP_003714845.1	XP_003714845.1
XP_003719067.1	XP_003719067.1
XP_003747415.1	XP_003747415.1
XP_003757286.3	XP_003757286.3
XP_003759662.2	XP_003759662.2
XP_003761347.1	XP_003761347.1
XP_003792582.1	XP_003792582.1
XP_003798832.1	XP_003798832.1
XP_003806732.1	XP_003806732.1
XP_003808011.2	XP_003808011.2
XP_003822327.1	XP_003822327.1
XP_003822328.1	XP_003822328.1
XP_003828536.1	XP_003828536.1
XP_003843481.1	XP_003843481.1
XP_003854459.1	XP_003854459.1
XP_003855523.1	XP_003855523.1
XP_003858515.1	XP_003858515.1
XP_003859469.1	XP_003859469.1
XP_003860728.1	XP_003860728.1
XP_003861627.1	XP_003861627.1
XP_003861637.1	XP_003861637.1
XP_003862183.1	XP_003862183.1
XP_003868035.1	XP_003868035.1
XP_003872217.1	XP_003872217.1
XP_003873468.1	XP_003873468.1
XP_003874320.1	XP_003874320.1
XP_003875128.1	XP_003875128.1
XP_003875442.1	XP_003875442.1
XP_003876343.1	XP_003876343.1
XP_003876353.1	XP_003876353.1
XP_003876913.1	XP_003876913.1
XP_003878093.1	XP_003878093.1
XP_003882578.1	XP_003882578.1
XP_003883088.1	XP_003883088.1
XP_003886376.1	XP_003886376.1
XP_003899912.1	XP_003899912.1
XP_003899913.1	XP_003899913.1
XP_003903561.1	XP_003903561.1
XP_003920278.2	XP_003920278.2
XP_003920859.1	XP_003920859.1
XP_003921600.2	XP_003921600.2
XP_003932554.2	XP_003932554.2
XP_003937307.2	XP_003937307.2
XP_003938441.3	XP_003938441.3
XP_003941182.1	XP_003941182.1
XP_003955406.1	XP_003955406.1
XP_003956289.1	XP_003956289.1
XP_003961518.2	XP_003961518.2
XP_003969058.2	XP_003969058.2
XP_003988250.3	XP_003988250.3
XP_003993559.1	XP_003993559.1
XP_003995504.2	XP_003995504.2
XP_004014322.1	XP_004014322.1
XP_004048245.4	XP_004048245.4
XP_004051405.3	XP_004051405.3
XP_004059103.3	XP_004059103.3
XP_004067543.1	XP_004067543.1
XP_004078069.1	XP_004078069.1
XP_004141224.1	XP_004141224.1
XP_004178092.1	XP_004178092.1
XP_004179187.1	XP_004179187.1
XP_004183989.1	XP_004183989.1
XP_004222039.1	XP_004222039.1
XP_004223684.1	XP_004223684.1
XP_004225050.1	XP_004225050.1
XP_004225105.1	XP_004225105.1
XP_004225899.2	XP_004225899.2
XP_004229872.1	XP_004229872.1
XP_004250756.2	XP_004250756.2
XP_004256050.1	XP_004256050.1
XP_004264258.1	XP_004264258.1
XP_004264931.2	XP_004264931.2
XP_004270894.1	XP_004270894.1
XP_004270896.1	XP_004270896.1
XP_004283093.1	XP_004283093.1
XP_004288636.1	XP_004288636.1
XP_004307468.1	XP_004307468.1
XP_004308427.1	XP_004308427.1
XP_004338200.1	XP_004338200.1
XP_004339627.1	XP_004339627.1
XP_004346582.1	XP_004346582.1
XP_004349811.2	XP_004349811.2
XP_004351884.1	XP_004351884.1
XP_004353585.1	XP_004353585.1
XP_004354618.1	XP_004354618.1
XP_004358200.1	XP_004358200.1
XP_004358201.1	XP_004358201.1
XP_004358207.1	XP_004358207.1
XP_004359409.1	XP_004359409.1
XP_004361754.1	XP_004361754.1
XP_004371699.1	XP_004371699.1
XP_004371785.1	XP_004371785.1
XP_004374522.1	XP_004374522.1
XP_004374523.1	XP_004374523.1
XP_004380330.1	XP_004380330.1
XP_004381375.2	XP_004381375.2
XP_004383907.2	XP_004383907.2
XP_004386310.1	XP_004386310.1
XP_004405651.1	XP_004405651.1
XP_004405653.1	XP_004405653.1
XP_004408575.1	XP_004408575.1
XP_004411052.1	XP_004411052.1
XP_004413813.1	XP_004413813.1
XP_004416505.1	XP_004416505.1
XP_004416506.1	XP_004416506.1
XP_004417375.1	XP_004417375.1
XP_004425313.1	XP_004425313.1
XP_004437534.1	XP_004437534.1
XP_004438616.1	XP_004438616.1
XP_004440107.1	XP_004440107.1
XP_004440864.1	XP_004440864.1
XP_004455874.2	XP_004455874.2
XP_004461583.1	XP_004461583.1
XP_004461584.1	XP_004461584.1
XP_004461585.1	XP_004461585.1
XP_004476563.1	XP_004476563.1
XP_004478178.2	XP_004478178.2
XP_004503175.1	XP_004503175.1
XP_004510903.1	XP_004510903.1
XP_004517977.1	XP_004517977.1
XP_004524901.1	XP_004524901.1
XP_004525671.1	XP_004525671.1
XP_004529741.1	XP_004529741.1
XP_004539755.2	XP_004539755.2
XP_004544531.2	XP_004544531.2
XP_004547002.2	XP_004547002.2
XP_004562451.3	XP_004562451.3
XP_004563709.3	XP_004563709.3
XP_004563710.3	XP_004563710.3
XP_004565176.3	XP_004565176.3
XP_004572326.1	XP_004572326.1
XP_004583893.2	XP_004583893.2
XP_004583894.1	XP_004583894.1
XP_004586295.2	XP_004586295.2
XP_004588734.2	XP_004588734.2
XP_004596832.2	XP_004596832.2
XP_004597950.2	XP_004597950.2
XP_004600734.2	XP_004600734.2
XP_004621539.2	XP_004621539.2
XP_004639170.1	XP_004639170.1
XP_004639441.1	XP_004639441.1
XP_004643446.1	XP_004643446.1
XP_004643447.1	XP_004643447.1
XP_004645796.1	XP_004645796.1
XP_004645797.1	XP_004645797.1
XP_004646802.1	XP_004646802.1
XP_004656597.2	XP_004656597.2
XP_004659699.2	XP_004659699.2
XP_004664904.2	XP_004664904.2
XP_004666164.2	XP_004666164.2
XP_004672399.1	XP_004672399.1
XP_004677848.1	XP_004677848.1
XP_004683436.1	XP_004683436.1
XP_004690385.1	XP_004690385.1
XP_004690386.1	XP_004690386.1
XP_004691251.1	XP_004691251.1
XP_004698166.1	XP_004698166.1
XP_004699478.1	XP_004699478.1
XP_004699479.1	XP_004699479.1
XP_004702509.1	XP_004702509.1
XP_004703572.1	XP_004703572.1
XP_004704739.2	XP_004704739.2
XP_004713537.1	XP_004713537.1
XP_004714657.1	XP_004714657.1
XP_004744198.2	XP_004744198.2
XP_004744199.2	XP_004744199.2
XP_004744200.2	XP_004744200.2
XP_004758030.1	XP_004758030.1
XP_004766868.1	XP_004766868.1
XP_004774186.2	XP_004774186.2
XP_004774509.1	XP_004774509.1
XP_004774511.1	XP_004774511.1
XP_004774512.1	XP_004774512.1
XP_004774513.1	XP_004774513.1
XP_004774514.1	XP_004774514.1
XP_004828842.1	XP_004828842.1
XP_004829618.1	XP_004829618.1
XP_004832032.1	XP_004832032.1
XP_004845215.1	XP_004845215.1
XP_004845219.1	XP_004845219.1
XP_004848010.2	XP_004848010.2
XP_004861843.1	XP_004861843.1
XP_004861844.1	XP_004861844.1
XP_004862518.1	XP_004862518.1
XP_004862523.1	XP_004862523.1
XP_004869297.1	XP_004869297.1
XP_004869298.1	XP_004869298.1
XP_004870270.1	XP_004870270.1
XP_004870271.1	XP_004870271.1
XP_004874422.1	XP_004874422.1
XP_004874424.1	XP_004874424.1
XP_004874425.1	XP_004874425.1
XP_004913600.1	XP_004913600.1
XP_004913601.1	XP_004913601.1
XP_004914067.2	XP_004914067.2
XP_004925449.2	XP_004925449.2
XP_004928356.1	XP_004928356.1
XP_004928359.1	XP_004928359.1
XP_004936847.2	XP_004936847.2
XP_004936849.2	XP_004936849.2
XP_004952077.2	XP_004952077.2
XP_004956242.2	XP_004956242.2
XP_004969499.1	XP_004969499.1
XP_004970558.1	XP_004970558.1
XP_004970560.1	XP_004970560.1
XP_004970561.1	XP_004970561.1
XP_004974217.1	XP_004974217.1
XP_004974218.1	XP_004974218.1
XP_004983297.1	XP_004983297.1
XP_004987785.1	XP_004987785.1
XP_004998234.1	XP_004998234.1
XP_005000160.2	XP_005000160.2
XP_005052708.1	XP_005052708.1
XP_005060784.1	XP_005060784.1
XP_005061003.1	XP_005061003.1
XP_005065514.3	XP_005065514.3
XP_005065515.3	XP_005065515.3
XP_005065713.1	XP_005065713.1
XP_005065714.1	XP_005065714.1
XP_005079231.1	XP_005079231.1
XP_005079234.3	XP_005079234.3
XP_005085227.1	XP_005085227.1
XP_005091309.1	XP_005091309.1
XP_005091310.1	XP_005091310.1
XP_005099789.2	XP_005099789.2
XP_005110337.1	XP_005110337.1
XP_005154984.2	XP_005154984.2
XP_005183158.1	XP_005183158.1
XP_005204617.1	XP_005204617.1
XP_005204619.1	XP_005204619.1
XP_005204620.1	XP_005204620.1
XP_005204621.1	XP_005204621.1
XP_005204622.1	XP_005204622.1
XP_005204623.1	XP_005204623.1
XP_005204624.1	XP_005204624.1
XP_005210441.1	XP_005210441.1
XP_005211401.1	XP_005211401.1
XP_005221725.2	XP_005221725.2
XP_005233902.2	XP_005233902.2
XP_005239787.3	XP_005239787.3
XP_005239788.3	XP_005239788.3
XP_005252264.1	XP_005252264.1
XP_005252265.1	XP_005252265.1
XP_005270733.1	XP_005270733.1
XP_005270735.1	XP_005270735.1
XP_005270736.1	XP_005270736.1
XP_005270737.1	XP_005270737.1
XP_005270738.1	XP_005270738.1
XP_005270739.1	XP_005270739.1
XP_005284872.2	XP_005284872.2
XP_005286489.2	XP_005286489.2
XP_005289868.2	XP_005289868.2
XP_005289869.2	XP_005289869.2
XP_005304361.1	XP_005304361.1
XP_005318221.2	XP_005318221.2
XP_005329063.2	XP_005329063.2
XP_005331560.1	XP_005331560.1
XP_005334347.1	XP_005334347.1
XP_005335240.2	XP_005335240.2
XP_005351980.1	XP_005351980.1
XP_005353606.1	XP_005353606.1
XP_005354857.1	XP_005354857.1
XP_005354858.1	XP_005354858.1
XP_005356552.1	XP_005356552.1
XP_005356750.2	XP_005356750.2
XP_005367090.1	XP_005367090.1
XP_005367093.1	XP_005367093.1
XP_005386066.1	XP_005386066.1
XP_005386067.1	XP_005386067.1
XP_005387247.1	XP_005387247.1
