UCE_ID	Total_Species_Count	Deep_Species_Count	Shallow_Species_Count	Median_Identity
uce-7913	4	4	0	83.15
uce-1504	4	4	0	82.6
uce-8602	4	4	0	82.6
uce-5879	4	4	0	82.7
uce-411	4	4	0	83.7
uce-555	4	4	0	82.4
uce-6034	4	4	0	82.3
uce-3271	3	3	0	82.9
uce-541	3	3	0	82.2
uce-3209	3	3	0	82.7
uce-4402	3	3	0	84.8
uce-7475	3	3	0	82.3
uce-2037	3	3	0	84
uce-3520	3	3	0	82.2
uce-7945	3	3	0	82.5
uce-4911	3	3	0	84.3
uce-2893	3	3	0	82.1
uce-5952	3	3	0	82.5
uce-997	3	3	0	85.2
uce-3797	3	3	0	82.6
uce-6078	2	2	0	82.45
uce-7532	2	2	0	83.3
uce-5820	2	2	0	82.85
uce-6622	2	2	0	83.8
uce-3549	2	2	0	83.5
uce-5260	2	2	0	82.8
uce-2038	2	2	0	83.75
uce-3165	2	2	0	82.8
uce-13	2	2	0	83.05
uce-680	2	2	0	82.8
uce-3651	2	2	0	83.2
uce-8369	2	2	0	84.1
uce-9451	2	2	0	83.9
uce-9098	2	2	0	83.5
uce-1105	2	2	0	83.4
uce-5301	2	2	0	82.25
uce-7339	2	2	0	82.2
uce-1282	2	2	0	84.5
uce-7466	2	2	0	82.4
uce-8653	2	2	0	82.65
uce-931	2	2	0	82.3
uce-1761	1	1	0	82.7
uce-6856	1	1	0	82.1
uce-9354	1	1	0	82.1
uce-9314	1	1	0	82.3
uce-6900	1	1	0	82.7
uce-7566	1	1	0	84.3
uce-3522	1	1	0	83.5
uce-8157	1	1	0	82.2
uce-297	1	1	0	82.3
uce-524	1	1	0	84.6
uce-3518	1	1	0	84
uce-4608	1	1	0	82.2
uce-6839	1	1	0	82.7
uce-2581	1	1	0	82.9
uce-5973	1	1	0	82
uce-1854	1	1	0	82.3
uce-493	1	1	0	82.6
uce-4597	1	1	0	84.6
uce-4729	1	1	0	82
uce-4635	1	1	0	82.7
uce-3270	1	1	0	83.2
uce-2159	1	1	0	82
uce-6453	1	1	0	82.3
uce-7585	1	1	0	82.4
uce-1945	1	1	0	83.2
uce-9345	1	1	0	84.3
uce-6346	1	1	0	83.5
uce-1779	1	1	0	82.2
uce-8130	1	1	0	82.4
uce-8259	1	1	0	82.1
uce-3877	1	1	0	82.7
uce-7502	1	1	0	83.5
uce-67	1	1	0	82.5
uce-3283	1	1	0	84.7
uce-3207	1	1	0	82.4
uce-3506	1	1	0	82.3
uce-8654	1	1	0	82.1
uce-5415	1	1	0	82.4
uce-5609	1	1	0	82
uce-1935	1	1	0	84
uce-229	1	1	0	82.2
uce-5966	1	1	0	82.2
uce-9145	1	1	0	83
uce-5803	1	1	0	86.7
uce-6418	1	1	0	83
uce-588	1	1	0	83.2
