candidate_accession	best_forward_evalue	reciprocal_top_accession	reciprocal_evalue	bitscore	pident	alignment_length	query_coverage	reciprocal_subject_title
XP_072355906.1	0.0	NP_060103.2	0.0	699	88.421	380	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_072361243.1	0.0	NP_060179.2	0.0	563	71.693	378	92	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_072361244.1	0.0	NP_060179.2	0.0	562	71.693	378	96	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_072369869.1	0.0	NP_060179.2	0.0	640	81.963	377	98	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_075266250.1	8.92e-77	NP_689843.1	6.89e-76	259	43.533	317	22	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_075266258.1	2.12e-76	NP_689843.1	1.87e-75	256	43.533	317	28	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_075911993.1	2.26e-48	NP_060103.2	2.26e-54	197	51.832	191	22	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_076819008.1	1.38e-85	NP_060103.2	2.52e-84	276	52.574	272	38	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_077976852.1	4.53e-159	NP_060103.2	9.95e-159	456	69.394	330	83	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_078471579.1	0.0	NP_060103.2	0.0	588	77.322	366	88	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_078495208.1	2.30e-89	NP_060103.2	4.76e-88	284	49.839	311	44	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_078561845.1	1.19e-134	NP_060179.2	7.33e-134	391	58.516	364	90	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_078630242.1	0.0	NP_060103.2	0.0	599	76.316	380	91	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_080079901.1	0.0	NP_060103.2	0.0	682	86.053	380	97	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_080089636.1	0.0	NP_060179.2	0.0	639	80.890	382	99	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_080089638.1	0.0	NP_060179.2	0.0	640	80.890	382	97	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_080089732.1	0.0	NP_060103.2	0.0	559	71.277	376	96	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_080170391.1	2.7	NP_443175.2	6.2	29.3	36.585	41	29	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_080183088.1	6.6	NP_060103.2	6.5	29.3	23.958	96	60	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_080187162.1	1.99e-76	NP_689843.1	1.50e-75	250	42.368	321	46	terminal nucleotidyltransferase 5D [Homo sapiens]
XP_081632164.1	1.83e-104	NP_060103.2	4.23e-104	320	44.818	357	71	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_081632415.1	0.18	NP_060179.2	0.99	32.3	29.167	96	51	terminal nucleotidyltransferase 5C [Homo sapiens]
XP_082431363.1	1.94e-84	NP_060103.2	2.41e-83	272	50.896	279	41	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_082437747.1	0.044	NP_443175.2	0.39	35.8	29.897	97	19	terminal nucleotidyltransferase 5B [Homo sapiens]
XP_082444555.1	8.93e-87	NP_060103.2	7.18e-86	279	54.511	266	38	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_082454942.1	1.16e-88	NP_060103.2	9.53e-88	284	52.518	278	39	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_082794170.1	5.67e-74	NP_060103.2	2.34e-73	244	51.779	253	39	terminal nucleotidyltransferase 5A [Homo sapiens]
XP_082838426.1	1.11e-76	NP_060103.2	2.74e-75	251	49.248	266	37	terminal nucleotidyltransferase 5A [Homo sapiens]
