qseqid	saccver	pident	length	qcovs	evalue	bitscore	stitle	source_file	organism	filepath
NP_004778.1	XP_066278447.1	54.99	1513	98	0	1700	slit homolog 2 protein-like isoform X7 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278446.1	54.058	1528	98	0	1688	slit homolog 2 protein-like isoform X6 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_004778.1	XP_066278445.1	53.665	1528	98	0	1677	slit homolog 2 protein-like isoform X5 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278443.1	51.547	1519	98	0	1574	slit homolog 2 protein-like isoform X4 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278442.1	51.343	1527	98	0	1570	slit homolog 2 protein-like isoform X3 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278441.1	51.142	1533	98	0	1568	slit homolog 2 protein-like isoform X2 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278440.1	50.946	1533	98	0	1559	slit homolog 2 protein-like isoform X1 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278446.1	50.163	1533	98	0	1530	slit homolog 2 protein-like isoform X6 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278447.1	50.659	1518	98	0	1524	slit homolog 2 protein-like isoform X7 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_001258875.2	XP_066278445.1	49.967	1533	98	0	1518	slit homolog 2 protein-like isoform X5 [Branchiostoma lanceolatum]	Cephalochordata_SLIT1-2-3.txt	Cephalochordata_Branchiostoma_lanceolatum	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Cephalochordata_Branchiostoma_lanceolatum/Cephalochordata_SLIT1-2-3.txt
NP_003052.2	XP_042196886.1	66.557	1513	98	0	2122	slit homolog 2 protein isoform X2 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_042196883.1	66.294	1519	98	0	2116	slit homolog 2 protein isoform X1 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_042196893.1	66.028	1513	98	0	2098	slit homolog 2 protein isoform X3 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_042196000.1	58.036	1456	98	0	1717	slit homolog 3 protein [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_042196886.1	86.198	1507	98	0	2712	slit homolog 2 protein isoform X2 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_042196883.1	85.856	1513	98	0	2705	slit homolog 2 protein isoform X1 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_042196893.1	85.667	1507	98	0	2688	slit homolog 2 protein isoform X3 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_042196000.1	68.852	1403	98	0	2006	slit homolog 3 protein [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_042196893.1	67.064	1509	98	0	2117	slit homolog 2 protein isoform X3 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_042196886.1	66.711	1517	98	0	2110	slit homolog 2 protein isoform X2 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_042196883.1	66.382	1523	98	0	2104	slit homolog 2 protein isoform X1 [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_042196000.1	70.937	1452	98	0	2103	slit homolog 3 protein [Callorhinchus milii]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Callorhinchus_milii	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Callorhinchus_milii/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067858119.1	76.197	1525	99	0	2384	slit homolog 1a isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067858120.1	76.131	1525	99	0	2377	slit homolog 1a isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067845369.1	65.862	1532	99	0	2111	slit homolog 2 protein isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067845379.1	65.339	1532	99	0	2086	slit homolog 2 protein isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067852608.1	57.423	1529	99	0	1752	slit homolog 3 protein-like [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067845369.1	85.434	1531	100	0	2722	slit homolog 2 protein isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067845379.1	84.912	1531	100	0	2697	slit homolog 2 protein isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067858119.1	67.56	1529	100	0	2165	slit homolog 1a isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067858120.1	67.56	1529	100	0	2161	slit homolog 1a isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067852608.1	64.244	1527	99	0	2003	slit homolog 3 protein-like [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067852608.1	71.11	1523	99	0	2232	slit homolog 3 protein-like [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067845379.1	66.955	1504	98	0	2122	slit homolog 2 protein isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067845369.1	66.601	1512	98	0	2113	slit homolog 2 protein isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067858119.1	60.026	1511	98	0	1865	slit homolog 1a isoform X1 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067858120.1	60.026	1511	98	0	1861	slit homolog 1a isoform X2 [Heptranchias perlo]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heptranchias_perlo	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heptranchias_perlo/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067909245.1	75.887	1522	99	0	2381	slit homolog 1 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067909244.1	75.837	1523	99	0	2376	slit homolog 1 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067909246.1	74.59	1523	99	0	2321	slit homolog 1 protein-like isoform X3 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067909247.1	73.526	1526	99	0	2261	slit homolog 1 protein-like isoform X4 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067909248.1	76.194	1445	95	0	2255	slit homolog 1 protein-like isoform X5 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067893698.1	64.883	1532	99	0	2078	slit homolog 2 protein [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067899363.1	60.359	1506	98	0	1877	slit homolog 3 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_003052.2	XP_067899364.1	59.163	1506	98	0	1828	slit homolog 3 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067893698.1	84.787	1525	100	0	2694	slit homolog 2 protein [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067899363.1	69.369	1505	98	0	2195	slit homolog 3 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067909245.1	67.322	1527	100	0	2150	slit homolog 1 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067909244.1	67.277	1528	100	0	2144	slit homolog 1 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067899364.1	67.841	1505	98	0	2136	slit homolog 3 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067909246.1	65.641	1528	100	0	2077	slit homolog 1 protein-like isoform X3 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067909248.1	67.633	1449	97	0	2040	slit homolog 1 protein-like isoform X5 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_004778.1	XP_067909247.1	64.928	1534	100	0	2038	slit homolog 1 protein-like isoform X4 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067899363.1	74.669	1512	99	0	2355	slit homolog 3 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067899364.1	73.052	1514	99	0	2295	slit homolog 3 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067893698.1	66.755	1504	98	0	2115	slit homolog 2 protein [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067909245.1	59.702	1546	100	0	1869	slit homolog 1 protein-like isoform X2 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067909244.1	59.664	1547	100	0	1868	slit homolog 1 protein-like isoform X1 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067909246.1	58.694	1547	100	0	1823	slit homolog 1 protein-like isoform X3 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067909248.1	60.381	1469	95	0	1796	slit homolog 1 protein-like isoform X5 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
NP_001258875.2	XP_067909247.1	57.715	1549	100	0	1782	slit homolog 1 protein-like isoform X4 [Heterodontus francisci]	Chondrichthyes_SLIT1-2-3.txt	Chondrichthyes_Heterodontus_francisci	/rna/liha/phylogenomics_practice/SLIT2/Blast/Results/Chondrichthyes_Heterodontus_francisci/Chondrichthyes_SLIT1-2-3.txt
