Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Chondrichthyes	GCA_035221665.1	reference genome	247.8	1743244	2756528269	432798	Okamejei kenojei
Chondrichthyes	GCA_977017645.1	reference genome	30	3050324	6221090334	7788	Torpedo marmorata
Chondrichthyes	GCF_044704955.1	reference genome	43.2	1893048	5923050865	55135	Pristiophorus japonicus
Chondrichthyes	GCF_963921235.1	reference genome	100	23327000	3475679493	723540	Mobula hypostoma
Chondrichthyes	GCF_030028105.1	reference genome	32	7300797	4014635230	1983395	Mobula birostris
Chondrichthyes	GCF_047496885.1	reference genome	34.5	3187150	6451259511	75743	Scyliorhinus torazame
Chondrichthyes	GCF_018977255.1	reference genome	68.84	1626615	991519186	7868	Callorhinchus milii
Euteleostomi	GCF_000001405.40	reference genome	na	57879411	3099441038	9606	Homo sapiens
Euteleostomi	GCF_000001635.27	reference genome	na	59462871	2728206152	10090	Mus musculus
Euteleostomi	GCF_016700215.2	reference genome	102.01	17744542	1050511239	9031	Gallus gallus
Euteleostomi	GCF_000004195.4	reference genome	111.5	14634335	1451283599	8364	Xenopus tropicalis
Euteleostomi	GCA_051020865.1	reference genome	101	16043130	342830278	99883	Tetraodon nigroviridis
Euteleostomi	GCF_040954835.1	reference genome	50.38	20019514	1200589847	7918	Lepisosteus oculatus
Euteleostomi	GCF_011386835.1	reference genome	20.5	13370154	2372089908	8478	Chrysemys picta bellii
Euteleostomi	GCF_035594765.1	reference genome	35	26091274	1850740401	28377	Anolis carolinensis
Euteleostomi	GCF_037176945.1	reference genome	41.94	42076942	2947609019	7897	Latimeria chalumnae
Euteleostomi	GCF_016835505.1	reference genome	64	4528139	3673863536	55291	Polypterus senegalus
Euteleostomi	GCF_902713425.1	reference genome	61	8776027	1899794300	7906	Acipenser ruthenus
Euteleostomi	GCF_017654675.1	reference genome	28.5	22451507	2742451793	8355	Xenopus laevis
Teleostei	GCF_902167405.1	reference genome	83	1015663	669949713	8049	Gadus morhua
Teleostei	GCF_026213295.1	reference genome	61.77	358862	629920150	1042646	Gadus chalcogrammus
Teleostei	GCF_965601325.1	reference genome	40	90035114	2825041709	8030	Salmo salar
Teleostei	GCF_013265735.2	reference genome	111.6	15579713	2341671972	8022	Oncorhynchus mykiss
Teleostei	GCF_027409825.1	reference genome	49.19	4898551	828681152	13676	Scomber japonicus
Teleostei	GCF_914725855.1	reference genome	45	26795544	792101331	8236	Thunnus albacares
Teleostei	GCF_024713975.1	reference genome	83	24354382	588170514	8255	Paralichthys olivaceus
Teleostei	GCF_002260705.1	reference genome	210	249755	677669644	41447	Seriola dumerili
Teleostei	GCA_003416845.1	reference genome	292	29992	766301214	163134	Oplegnathus fasciatus
Teleostei	GCF_900880675.2	reference genome	56	2862625	833578411	8175	Sparus aurata
Teleostei	GCF_001858045.2	reference genome	44	2923640	1005664923	8128	Oreochromis niloticus
Teleostei	GCF_041146795.1	reference genome	90	31124463	962175383	106582	Maylandia zebra
